id,name,boot_mtd,att_true,att_est,att_est_debiased,lower,upper,covered,sd_boot,n_split,mu_model,time_on_matching,time_on_bootstrap,noise,bias,N_T,N_C,deg_overlap
1,toy,A-E,2.994857733,2.930688167,2.930714278,2.674602594,3.186825963,1,0.130669227,1,linear,1.254,0.062,-0.101538813,-0.042231368,99,99,low
2,toy,A-E,3.015616801,2.953811333,2.953692732,2.683209037,3.224176428,1,0.138001885,1,linear,1.203,0.045,-0.123763552,-0.061805468,100,100,low
3,toy,A-E,2.964675336,3.035393621,3.035486029,2.786568263,3.284403795,1,0.12699886,1,linear,1.19,0.035,0.027100099,0.070718285,100,100,low
4,toy,A-E,3.009486501,3.079566371,3.080431598,2.82911021,3.331752985,1,0.128225198,1,linear,1.134,0.036,0.007217348,0.07007987,100,100,low
5,toy,A-E,3.027067194,3.031144254,3.029691093,2.792880435,3.266501752,1,0.120821765,1,linear,1.084,0.045,-0.062602216,0.00407706,100,100,low
6,toy,A-E,3.003920561,3.053002613,3.053651692,2.851167289,3.256136096,1,0.103308369,1,linear,1.127,0.032,-0.019150164,0.0295308,99,99,low
7,toy,A-E,3.004220879,2.879781215,2.879737196,2.600024171,3.15945022,1,0.142710727,1,linear,1.349,0.033,-0.189707119,-0.124439664,100,100,low
8,toy,A-E,3.006257806,2.960663178,2.961337129,2.74890027,3.173773989,1,0.108386153,1,linear,1.156,0.041,-0.084503552,-0.045594627,100,100,low
9,toy,A-E,2.945587359,2.998175438,2.996147927,2.74739913,3.244896724,1,0.126912652,1,linear,1.077,0.03,0.018429399,0.08003124,99,99,low
10,toy,A-E,2.919945371,2.814849733,2.815006168,2.607172338,3.022839999,1,0.106037668,1,linear,1.085,0.043,-0.161896684,-0.105095637,100,100,low
1,toy,A-E,2.994857733,3.158321892,3.158287843,2.97326076,3.343314927,1,0.094401573,1,linear,1.195,0.302,0.072624343,0.163464158,100,100,mid
2,toy,A-E,3.015616801,3.141287001,3.141275482,2.954383994,3.328166969,1,0.0953528,1,linear,1.203,0.062,0.053416306,0.1256702,100,100,mid
3,toy,A-E,2.964675336,3.114472011,3.114418377,2.911225182,3.317611571,1,0.103669997,1,linear,1.082,0.055,0.072030347,0.149796675,100,100,mid
4,toy,A-E,3.009486501,3.142370922,3.142405176,2.931522694,3.353287658,1,0.107593103,1,linear,1.095,0.051,0.06701195,0.132884421,100,100,mid
5,toy,A-E,3.027067194,3.122394768,3.122810231,2.9098285,3.335791962,1,0.108664148,1,linear,1.086,0.054,0.017260464,0.095327575,100,100,mid
6,toy,A-E,3.003920561,3.027515185,3.028220989,2.822086884,3.234355093,1,0.105170461,1,linear,1.076,0.058,-0.05528826,0.023594623,100,100,mid
7,toy,A-E,3.004220879,3.008977376,3.008210309,2.789943935,3.226476682,1,0.111360395,1,linear,1.067,0.078,-0.063637022,0.004756497,100,100,mid
8,toy,A-E,3.006257806,3.105938951,3.106256061,2.919206768,3.293305353,1,0.095433313,1,linear,1.09,0.055,0.024226782,0.099681145,100,100,mid
9,toy,A-E,2.945587359,2.927925436,2.928726749,2.700782158,3.156671341,1,0.116298261,1,linear,1.103,0.054,-0.084947727,-0.017661923,100,100,mid
10,toy,A-E,2.919945371,2.885085465,2.885068026,2.699759632,3.07037642,1,0.094545099,1,linear,1.077,0.068,-0.115023864,-0.034859906,100,100,mid
1,toy,A-E,2.994857733,3.046975593,3.046975593,2.846081747,3.247869438,1,0.10249686,1,linear,1.29,0.177,-0.018948949,0.052117859,100,100,high
2,toy,A-E,3.015616801,3.297824123,3.297824123,3.089722867,3.50592538,0,0.10617411,1,linear,1.52,0.162,0.213168467,0.282207323,100,100,high
3,toy,A-E,2.964675336,3.189573099,3.189573099,2.987984966,3.391161232,0,0.102851088,1,linear,1.302,0.158,0.155857355,0.224897762,100,100,high
4,toy,A-E,3.009486501,3.022235624,3.022235624,2.805570826,3.238900422,1,0.110543264,1,linear,1.188,0.174,-0.062411944,0.012749124,100,100,high
5,toy,A-E,3.027067194,3.093248478,3.093248478,2.864042904,3.322454051,1,0.116941619,1,linear,1.299,0.167,-0.008987514,0.066181284,100,100,high
6,toy,A-E,3.003920561,3.052512335,3.052512335,2.820362664,3.284662007,1,0.11844371,1,linear,1.521,0.186,-0.016027904,0.048591774,100,100,high
7,toy,A-E,3.004220879,2.989033348,2.989033348,2.777448444,3.200618251,1,0.107951481,1,linear,1.38,0.17,-0.089022561,-0.015187532,100,100,high
8,toy,A-E,3.006257806,3.150013263,3.150013263,2.925384187,3.374642339,1,0.114606671,1,linear,1.354,0.166,0.070342913,0.143755457,100,100,high
9,toy,A-E,2.945587359,2.918514887,2.918514887,2.684690337,3.152339437,1,0.11929824,1,linear,1.351,0.184,-0.099210587,-0.027072472,100,100,high
10,toy,A-E,2.919945371,2.910525292,2.910525292,2.678557204,3.142493381,1,0.118351066,1,linear,1.241,0.158,-0.072773966,-0.009420078,100,100,high
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
