runid,n,p,model.trt,model.rsp,ninf,ninf_cem,true_ATT,diff,bal1,bal2,or_lm,or_bart,ps_lm,ps_bart,csm_scm,csm_avg,cem_scm,cem_avg,onenn,tmle1,aipw1,tmle2,aipw2
26,1000,10,step,step,34,266,3.151667081,4.874868707,3.790652515,4.134902779,3.538599313,3.085785875,3.513447799,3.391505643,3.861083042,4.084057025,2.589346847,2.562250699,3.630953027,3.857154304,3.817205879,3.109223867,3.179585427
29,1000,10,step,step,28,260,3.05645633,2.815333676,3.177965188,3.087795901,3.198850333,3.239553635,3.160016679,3.108775942,2.968740141,2.637076628,3.832701439,3.762463617,2.727180912,3.243848856,3.261877782,3.26597195,3.25151574
33,1000,10,step,step,25,254,1.547460915,0.932409016,1.953396916,1.51517979,1.855759324,1.556668391,1.985821146,1.635324869,1.455403599,1.423508184,1.315266788,1.298495674,1.625874289,1.838123731,2.007664927,1.557803612,1.864555295
24,1000,10,step,step,16,234,4.868252925,5.719244744,5.268567024,5.611328858,5.148988827,4.75340273,5.104537542,5.023578483,5.546328146,5.304763902,4.900081713,4.936264072,5.381580087,5.26151096,5.243223635,4.741670178,4.784409288
28,1000,10,step,step,21,298,-0.719488731,-0.003133488,-0.571294897,-0.282982781,-0.584596524,-0.653872306,-0.595718734,-0.72125685,-0.50015798,-0.472895164,-1.2808727,-1.369339868,-0.44406754,-0.537538742,-0.578276382,-0.714302023,-0.664445939
32,1000,10,step,step,27,293,4.854207356,5.621154832,5.022456176,5.354838322,5.106734761,5.000062473,5.050975879,5.005045238,5.347184208,5.450453536,6.311542647,6.285236559,5.196945044,5.034685213,5.034851352,5.015550474,4.940497749
31,1000,10,step,step,14,264,2.43745793,2.377166448,2.055732427,2.325926447,2.223397389,2.358408437,2.271427823,2.208851678,1.807884485,2.271585055,1.569409548,1.488643408,1.885107878,2.099769786,2.109748684,2.322048837,2.258264596
30,1000,10,step,step,23,244,3.784923441,3.496384181,3.788792584,3.719838922,3.856817449,3.796272231,3.793562833,3.876625327,3.875533982,4.239803972,3.901346188,3.797884358,4.147373182,3.781195206,3.835892292,3.785367466,3.818430794
27,1000,10,step,step,18,263,5.032389404,5.936757773,5.836542242,5.955931056,5.631202604,5.062972932,5.538911352,5.480495639,5.664002432,5.987646637,6.487932782,6.561873822,6.037190283,5.734496542,5.755550349,5.087602635,5.235090123
25,1000,10,step,step,11,256,4.029911543,5.19676822,3.931043102,4.198768402,3.909900173,4.147184724,3.693995802,4.20218164,4.263824396,5.057961631,3.429774941,3.089621761,4.529717697,3.878364812,3.886600831,4.058618834,4.073446269
2,1000,10,step,step,28,317,6.041447989,7.13516258,6.249022219,6.555680718,6.062830783,6.172471117,5.984254238,6.184746583,6.398289181,6.646650729,8.725908606,8.696007278,6.392763936,6.395121547,6.252366134,6.137804628,6.120066621
5,1000,10,step,step,18,244,0.357991443,-0.739975789,-0.721365022,-0.707488357,-0.385735301,0.241342814,-0.367755555,-0.040852932,-0.017636676,-0.794030097,0.013320613,-0.216046597,-0.107316723,-0.667044156,-0.756099729,0.178161868,0.132042926
4,1000,10,step,step,18,254,5.197338385,4.777748347,5.211489507,5.164062868,5.110484866,5.410917102,5.007379872,5.391550807,5.739280287,4.870311751,3.872217732,3.847650145,5.647071378,5.226029686,5.270433731,5.45673045,5.36488013
6,1000,10,step,step,26,265,3.001278774,3.002804624,3.02968642,3.051403584,3.008365126,2.9939757,3.012721049,3.031463011,3.187118401,3.081848539,5.221167596,5.182698209,2.817553012,3.059119994,3.03750537,2.882038564,2.991649567
7,1000,10,step,step,23,287,2.700053257,2.22129318,2.663879636,2.437303062,2.719146976,2.613886694,2.791413633,2.651881718,2.422172348,2.669449388,3.0096269,3.010456306,2.67875733,2.568606461,2.680569217,2.627767591,2.609981656
10,1000,10,step,step,27,285,5.416633454,6.527195279,6.288879678,6.495321488,6.064349361,5.391291318,6.104228211,5.802366426,5.684904777,5.683294655,4.982852136,4.919742839,5.651678014,6.3499463,6.262384693,5.433487361,5.591672852
8,1000,10,step,step,18,261,1.866773726,2.503408736,2.388970821,2.506653015,2.106551459,1.971370015,1.938950215,2.132524465,2.555402004,2.187034794,2.358755417,2.320509135,2.290338977,2.506017362,2.360847946,1.920325546,2.011898436
3,1000,10,step,step,20,302,3.609392691,2.65987159,3.373262504,3.318054927,3.461896072,3.624416889,3.419479996,3.425329305,3.144266064,2.706748575,4.273128361,4.135406593,2.940397168,3.427665538,3.268882171,3.62238234,3.590521987
9,1000,10,step,step,17,265,4.081766953,3.417255883,4.216029826,3.933232449,4.370102398,4.051644609,4.306945647,4.209454922,4.151077939,4.438252453,5.139285136,5.136477047,4.596854791,4.2546811,4.218545013,4.067065159,4.009626518
4,1000,10,step,step,18,254,5.197338385,4.777748347,5.211489507,5.164062588,5.110484866,5.410917102,5.007379872,5.391550807,5.739280287,4.870311751,3.872217732,3.847650145,5.647071378,5.226029686,5.270433731,5.45673045,5.36488013
2,1000,10,step,step,28,317,6.041447989,7.13516258,6.249022219,6.555680718,6.062830783,6.172471117,5.984254238,6.184746583,6.398289181,6.646650729,8.725908606,8.696007278,6.392763936,6.395121547,6.252366134,6.137804628,6.120066621
1,1000,10,step,step,17,249,5.915199271,6.877270572,6.563308177,6.713408826,6.492571569,5.713352427,6.565056054,5.906022962,6.22567332,6.888125912,6.760891363,6.654790064,6.814466004,6.566079961,6.512355808,5.788436283,5.813223594
6,1000,10,step,step,26,265,3.001278774,3.002804624,3.02968642,3.051403584,3.008365126,2.9939757,3.012721049,3.031463011,3.187118401,3.081848539,5.221167596,5.182698209,2.817553012,3.059119994,3.03750537,2.882038564,2.991649567
5,1000,10,step,step,18,244,0.357991443,-0.739975789,-0.721365022,-0.707488357,-0.385735301,0.241342814,-0.367755555,-0.040852932,-0.017636676,-0.794030097,0.013320613,-0.216046597,-0.107316723,-0.667044156,-0.756099729,0.178161868,0.132042926
7,1000,10,step,step,23,287,2.700053257,2.22129318,2.663879636,2.437303062,2.719146976,2.613886694,2.791413633,2.651881718,2.422172348,2.669449388,3.0096269,3.010456306,2.67875733,2.568606461,2.680569217,2.627767591,2.609981656
3,1000,10,step,step,20,302,3.609392691,2.65987159,3.373262504,3.318054927,3.461896072,3.624416889,3.419479996,3.425329305,3.144266064,2.706748575,4.273128361,4.135406593,2.940397168,3.427665538,3.268882171,3.62238234,3.590521987
11,1000,10,step,step,22,260,2.36232282,3.826353051,3.225777969,3.380006204,3.074092927,2.433704954,2.961761097,2.731286342,2.765480332,3.968735339,2.332880202,2.359909183,3.904131441,3.201503631,3.297751257,2.463780491,2.550447843
10,1000,10,step,step,27,285,5.416633454,6.527195279,6.288879678,6.495321488,6.064349361,5.391291318,6.104228211,5.802366426,5.684904777,5.683294655,4.982852136,4.919742839,5.651678014,6.3499463,6.262384693,5.433487361,5.591672852
9,1000,10,step,step,17,265,4.081766953,3.417255883,4.216029826,3.933232449,4.370102398,4.051644609,4.306945647,4.209454922,4.151077939,4.438252453,5.139285136,5.136477047,4.596854791,4.2546811,4.218545013,4.067065159,4.009626518
8,1000,10,step,step,18,261,1.866773726,2.503408736,2.388970821,2.506653015,2.106551459,1.971370015,1.938950215,2.132524465,2.555402004,2.187034794,2.358755417,2.320509135,2.290338977,2.506017362,2.360847946,1.920325546,2.011898436
13,1000,10,step,step,14,233,2.866441,2.718762523,2.975607223,2.703785776,3.023154966,2.849880448,3.015137827,2.862703512,2.933292567,2.612342591,3.124605438,3.152693156,2.667054564,3.025016069,2.990528385,2.878225093,2.875150166
15,1000,10,step,step,19,299,2.530571885,2.634441543,2.793573871,2.756349022,2.791001951,2.521616239,2.659778304,2.582923407,2.546860413,2.794769139,2.415444253,2.500070825,2.889709597,2.716718496,2.779194261,2.485345008,2.436929181
12,1000,10,step,step,15,249,3.394015899,4.160416043,3.542218483,3.568385319,3.50169873,3.421705829,3.325167734,3.494537905,3.587829771,3.523743122,3.554873296,3.345445397,3.386291194,3.594957676,3.538466075,3.409815439,3.40190938
14,1000,10,step,step,18,251,4.486357655,5.801474772,5.715276559,5.801474911,5.183118071,4.512912678,5.087485252,4.826283149,5.774333024,5.358876037,4.648315029,4.51364003,5.212184273,5.922004438,5.706792662,4.502584994,4.54160203
17,1000,10,step,step,19,257,3.416571141,3.238679449,3.375769367,3.262241588,3.122333002,3.425467417,3.025653235,3.328144305,3.699945879,3.240842168,0.786116697,0.825669686,3.378981099,3.286486137,3.366354577,3.425167909,3.434701354
19,1000,10,step,step,19,250,3.810981862,2.884423034,4.048457243,3.799338015,3.921113616,3.881978834,3.892031971,3.868246705,3.636738217,3.959230093,4.052123489,4.139890488,4.332721156,4.020349904,4.042101984,3.892930755,3.907223162
