id,name,boot_mtd,att_true,att_est,att_est_debiased,lower,upper,covered,sd_boot,n_split,mu_model,time_on_matching,time_on_bootstrap,N_T,N_C
1,toy,A-E,3.01997288,3.041129245,3.041049871,2.903123017,3.178976724,1,0.070370844,1,linear,1.471,0.084,,
2,toy,A-E,3.073384549,3.228238657,3.228228061,3.109791781,3.346664342,0,0.060426674,1,linear,1.433,0.043,,
3,toy,A-E,3.058418918,3.273460455,3.274058985,3.14121485,3.406903121,0,0.06777762,1,linear,1.365,0.043,,
4,toy,A-E,2.964709255,3.125901006,3.125744155,2.993660168,3.257828141,0,0.067389789,1,linear,1.38,0.042,,
5,toy,A-E,3.075482274,3.134040946,3.13380635,3.007595451,3.26001725,1,0.064393316,1,linear,1.423,0.049,,
6,toy,A-E,3.0444826,3.067854678,3.067919874,2.939603289,3.196236459,1,0.065467645,1,linear,1.376,0.044,,
7,toy,A-E,3.109746552,3.313483042,3.313555499,3.178726046,3.448384952,0,0.068790537,1,linear,1.393,0.042,,
8,toy,A-E,3.074259105,3.116322469,3.114287371,2.982353293,3.24622145,1,0.067313305,1,linear,1.32,0.065,,
9,toy,A-E,3.156067041,3.432223444,3.431851208,3.280999804,3.582702613,0,0.076965002,1,linear,1.32,0.042,,
10,toy,A-E,3.036017749,3.329231211,3.328535154,3.192220868,3.46484944,0,0.069548105,1,linear,1.277,0.039,,
11,toy,A-E,3.059800503,3.078770681,3.078496575,2.959197338,3.197795812,1,0.060866958,1,linear,1.277,0.04,,
12,toy,A-E,3.010916299,2.949781191,2.949855565,2.81491954,3.08479159,1,0.068844911,1,linear,1.273,0.044,,
13,toy,A-E,2.992345898,3.125116802,3.125048528,3.001494326,3.24860273,0,0.063037858,1,linear,1.298,0.046,,
14,toy,A-E,3.059025118,3.2139931,3.215657532,3.076613607,3.354701457,0,0.070940778,1,linear,1.284,0.047,,
15,toy,A-E,2.940584641,3.079772605,3.079779483,2.949714949,3.209844016,0,0.066359456,1,linear,1.295,0.038,,
16,toy,A-E,2.966628552,3.029241684,3.029215338,2.901703041,3.156727636,1,0.065057294,1,linear,1.305,0.04,,
17,toy,A-E,2.919404369,3.071275796,3.0730572,2.92488803,3.22122637,0,0.075596515,1,linear,1.273,0.04,,
18,toy,A-E,2.932031781,2.957201846,2.957268489,2.828520384,3.086016593,1,0.065687808,1,linear,1.519,0.037,,
19,toy,A-E,3.001882208,3.062474033,3.061166593,2.927049185,3.195284,1,0.068427249,1,linear,1.256,0.041,,
20,toy,A-E,3.05729831,3.346279715,3.345971258,3.219545231,3.472397285,0,0.064503075,1,linear,1.244,0.048,,
21,toy,A-E,2.842196121,3.010874627,3.010943774,2.871512419,3.150375129,0,0.071138446,1,linear,1.258,0.042,,
22,toy,A-E,3.034567415,3.209186703,3.208986105,3.085292634,3.332679576,0,0.063108914,1,linear,1.256,0.036,,
23,toy,A-E,2.894845748,3.017355185,3.017288996,2.883694375,3.150883617,1,0.068160521,1,linear,1.263,0.04,,
24,toy,A-E,3.105610208,3.140187318,3.140187318,3.00029895,3.280075686,1,0.071371616,1,linear,1.271,0.042,,
25,toy,A-E,2.92689726,3.204484307,3.203837048,3.070955792,3.336718304,0,0.067796559,1,linear,1.262,0.043,,
26,toy,A-E,3.002628742,3.135984125,3.136009231,2.992629608,3.279388854,1,0.073152869,1,linear,1.271,0.049,,
27,toy,A-E,3.141696991,3.157402839,3.156952076,3.022861669,3.291042483,1,0.068413473,1,linear,1.237,0.039,,
28,toy,A-E,3.05889281,3.233937276,3.233921912,3.099528828,3.368314996,0,0.0685679,1,linear,1.24,0.043,,
29,toy,A-E,2.983734868,2.872692109,2.873179612,2.744202479,3.002156745,1,0.06580466,1,linear,1.249,0.038,,
30,toy,A-E,2.959187463,3.194171162,3.194148726,3.059048009,3.329249444,0,0.068928937,1,linear,1.25,0.04,,
31,toy,A-E,2.936196874,2.935992625,2.935703221,2.804075193,3.06733125,1,0.067157157,1,linear,1.32,0.038,,
32,toy,A-E,2.979876024,2.876595096,2.876576074,2.74456661,3.008585538,1,0.067351767,1,linear,1.258,0.042,,
33,toy,A-E,2.970926904,2.859080882,2.859206048,2.718240565,3.000171532,1,0.071921165,1,linear,1.255,0.042,,
34,toy,A-E,2.913013252,3.011751981,3.01178682,2.866105603,3.157468036,1,0.074327151,1,linear,1.246,0.039,,
35,toy,A-E,3.087190033,3.127192552,3.126938803,3.001559474,3.252318132,1,0.063969045,1,linear,1.257,0.043,,
36,toy,A-E,2.858738276,3.160968925,3.161916151,3.007377185,3.316455116,0,0.078846411,1,linear,1.259,0.048,,
37,toy,A-E,2.985414982,3.231488705,3.23134363,3.07993367,3.382753591,0,0.07724998,1,linear,1.304,0.041,,
38,toy,A-E,3.138370226,3.320607813,3.320313792,3.198601232,3.442026353,0,0.062098245,1,linear,1.316,0.041,,
39,toy,A-E,2.892387797,3.068474481,3.068194103,2.946711949,3.189676257,0,0.061980691,1,linear,1.359,0.04,,
40,toy,A-E,3.149947352,3.026070142,3.025967026,2.872148397,3.179785655,1,0.078478892,1,linear,1.273,0.041,,
41,toy,A-E,2.89038515,3.120524202,3.120453609,2.997399185,3.243508032,0,0.062782869,1,linear,1.267,0.039,,
