id,name,boot_mtd,att_true,att_est,att_est_debiased,lower,upper,covered,sd_boot,n_split,mu_model,time_on_matching,time_on_bootstrap
1,toy,cluster,3.01997288,3.041129245,3.041049871,2.266734268,3.815365474,1,0.395058981,1,linear,1.535,3.732
2,toy,cluster,2.871159403,3.100535715,3.100437339,2.312137295,3.888737384,1,0.4021939,1,linear,1.328,3.751
3,toy,cluster,3.294962605,3.263447055,3.263481262,2.333009326,4.193953198,1,0.47473058,1,linear,1.308,3.756
4,toy,cluster,2.937502682,3.145159655,3.146028549,2.553611207,3.738445892,1,0.302253746,1,linear,1.415,3.867
5,toy,cluster,2.957212411,3.143998893,3.143788932,2.654872941,3.632704922,1,0.249446934,1,linear,1.269,3.708
6,toy,cluster,2.93339325,3.14491381,3.144775065,2.586171627,3.703378504,1,0.285001754,1,linear,1.543,3.896
7,toy,cluster,3.146624036,3.394143694,3.394221988,2.93529709,3.853146886,1,0.234145356,1,linear,1.432,3.703
8,toy,cluster,3.003502433,3.348408915,3.348419008,2.509724347,4.18711367,1,0.42790544,1,linear,1.333,3.647
9,toy,cluster,3.109387269,2.933391933,2.933350284,2.256045266,3.610655303,1,0.345563785,1,linear,1.243,3.99
10,toy,cluster,2.907967146,2.929772498,2.929717655,2.046338401,3.81309691,1,0.450703701,1,linear,1.27,3.894
11,toy,cluster,3.018453287,3.209462045,3.209393018,2.557219074,3.861566963,1,0.332741808,1,linear,1.234,3.845
12,toy,cluster,2.915148242,2.829425405,2.829684959,2.144090449,3.51527947,1,0.349793118,1,linear,1.223,3.531
13,toy,cluster,2.960548809,3.227206481,3.226960658,2.445884785,4.008036532,1,0.398508099,1,linear,1.404,3.646
14,toy,cluster,2.880956862,3.248431805,3.248447388,2.486011896,4.010882881,1,0.3889977,1,linear,1.369,3.796
15,toy,cluster,3.027372558,3.235878666,3.235737329,2.404068258,4.067406401,1,0.424320955,1,linear,1.247,3.585
16,toy,cluster,2.982871487,3.274896236,3.27516806,2.550415326,3.999920795,1,0.369771803,1,linear,1.251,3.752
17,toy,cluster,3.162776902,3.113659388,3.113356628,2.38351745,3.843195806,1,0.372366928,1,linear,1.304,3.851
18,toy,cluster,2.929342974,3.162688987,3.162731811,2.536447129,3.789016493,1,0.319533001,1,linear,1.424,3.888
19,toy,cluster,2.975298661,3.292756197,3.292874419,2.678091937,3.9076569,1,0.313664531,1,linear,1.428,3.81
20,toy,cluster,3.057796197,3.339623845,3.339323319,2.777108022,3.901538617,1,0.28684454,1,linear,1.437,3.719
21,toy,cluster,2.95426414,3.150537893,3.150516898,2.355429426,3.945604369,1,0.405656873,1,linear,1.374,3.825
22,toy,cluster,2.941396598,2.998869842,2.998722878,2.36059558,3.636850176,1,0.325575152,1,linear,1.396,4.071
23,toy,cluster,2.815733803,3.214161308,3.21415473,2.397177169,4.031132291,1,0.416825286,1,linear,1.428,3.887
24,toy,cluster,2.989180824,3.286716528,3.286032701,2.556050645,4.016014756,1,0.372439824,1,linear,1.424,3.807
25,toy,cluster,2.954298328,3.104926797,3.104904119,2.444392017,3.765416221,1,0.33699597,1,linear,1.333,3.776
26,toy,cluster,2.998162204,3.300660267,3.300659939,2.524031506,4.077288372,1,0.396238996,1,linear,1.395,3.733
27,toy,cluster,3.138689879,3.166008645,3.171034072,2.510288883,3.831779261,1,0.337114892,1,linear,1.401,3.86
28,toy,cluster,2.970979135,3.138741939,3.138675331,2.334232961,3.9431177,1,0.410429781,1,linear,1.393,4.096
29,toy,cluster,3.000267459,3.09328466,3.093225975,2.338507101,3.847944848,1,0.38506065,1,linear,1.396,3.979
30,toy,cluster,2.98261076,3.143222944,3.143306209,2.449564574,3.837047844,1,0.353949814,1,linear,1.372,3.788
31,toy,cluster,3.10382922,3.240107077,3.240315498,2.484070262,3.996560734,1,0.385839406,1,linear,1.347,3.73
32,toy,cluster,3.00933,3.116049915,3.116450974,2.484250355,3.748651592,1,0.322551336,1,linear,1.357,3.66
33,toy,cluster,3.03879969,3.014988824,3.014892681,2.398952232,3.630833131,1,0.314255331,1,linear,1.293,3.875
34,toy,cluster,3.051732379,3.189587914,3.192275197,2.435446827,3.949103566,1,0.386136923,1,linear,1.417,3.897
35,toy,cluster,2.960223193,3.055744676,3.055820885,2.438832282,3.672809489,1,0.314790104,1,linear,1.342,4.004
36,toy,cluster,2.965271756,3.29756168,3.297430506,2.474349018,4.120511994,1,0.419939535,1,linear,1.405,3.671
37,toy,cluster,2.94693347,2.911796977,2.911835086,2.264145221,3.55952495,1,0.330454012,1,linear,1.303,3.621
38,toy,cluster,2.957537072,3.064284005,3.064417202,2.356666182,3.772168222,1,0.361097459,1,linear,1.279,3.629
39,toy,cluster,2.942459416,3.118572396,3.118484981,2.48047062,3.756499342,1,0.325517531,1,linear,1.273,3.575
40,toy,cluster,2.843148391,3.194305436,3.194166739,2.378484278,4.0098492,1,0.416164521,1,linear,1.282,3.689
41,toy,cluster,2.985914544,3.029766251,3.030050156,2.196503083,3.863597228,1,0.425279119,1,linear,1.245,3.469
42,toy,cluster,3.080538428,3.188414615,3.18820883,2.448527456,3.927890205,1,0.377388456,1,linear,1.244,3.607
43,toy,cluster,2.98067319,3.087522566,3.087560993,2.362349727,3.81277226,1,0.370005748,1,linear,1.266,3.512
44,toy,cluster,3.024268041,3.111997464,3.111858915,2.388631872,3.835085958,1,0.368993389,1,linear,1.256,3.575
45,toy,cluster,3.065493511,3.099064996,3.098274154,2.451325968,3.74522234,1,0.330075605,1,linear,1.291,3.638
46,toy,cluster,2.987558299,3.123743751,3.123586015,2.569352706,3.677819324,1,0.282772096,1,linear,1.263,3.682
47,toy,cluster,3.057248749,3.070788348,3.070575773,2.336361062,3.804790483,1,0.374599342,1,linear,1.268,3.576
48,toy,cluster,3.04306479,3.156479251,3.156480311,2.47235363,3.840606991,1,0.349044225,1,linear,1.255,3.552
49,toy,cluster,2.989612836,2.967135045,2.967277573,2.331462364,3.603092781,1,0.324395514,1,linear,1.252,3.615
50,toy,cluster,3.086252961,3.089406216,3.089886649,2.322639627,3.857133671,1,0.391452562,1,linear,1.255,3.635
51,toy,cluster,3.135974455,3.131251053,3.131362886,2.515963372,3.7467624,1,0.313979344,1,linear,1.332,3.654
52,toy,cluster,3.041786994,3.085522031,3.085579372,2.524174086,3.646984659,1,0.286431269,1,linear,1.294,3.778
53,toy,cluster,2.954459942,3.157297907,3.156805394,2.27805295,4.035557838,1,0.448343084,1,linear,1.255,3.623
54,toy,cluster,2.963423381,2.96998886,2.969553838,2.236680361,3.702427315,1,0.373915039,1,linear,1.227,3.538
55,toy,cluster,3.106430556,3.358005056,3.35803469,2.619506821,4.096562559,1,0.376799933,1,linear,1.278,3.633
56,toy,cluster,2.921505428,3.153921734,3.154924404,2.487238268,3.82261054,1,0.340656192,1,linear,1.292,3.505
57,toy,cluster,2.888632585,3.029502149,3.029011752,2.318987242,3.739036262,1,0.362257403,1,linear,1.276,3.608
58,toy,cluster,2.973723909,3.091339806,3.091347652,2.363946549,3.818748756,1,0.371123012,1,linear,1.304,3.669
