id,name,boot_mtd,att_true,att_est,att_est_debiased,lower,upper,covered,sd_boot,n_split,mu_model,time_on_matching,time_on_bootstrap
1,otsu,naive,0,0.078128794,0.073544784,-0.072483348,0.219572917,1,0.074504149,2,linear,0.202,13.198
2,otsu,naive,0,-0.015990752,-0.028013966,-0.177777896,0.121749964,1,0.076410168,2,linear,0.151,13.696
3,otsu,naive,0,-0.102775651,-0.123619247,-0.236271134,-0.010967361,0,0.057475452,2,linear,0.146,12.419
4,otsu,naive,0,0.11070548,0.093405144,-0.017898318,0.204708607,1,0.056787481,2,linear,0.143,13.552
5,otsu,naive,0,0.113194235,0.114975076,-0.011389951,0.241340103,1,0.064471953,2,linear,0.163,13.752
6,otsu,naive,0,-0.017184426,-0.072839098,-0.190681594,0.045003398,1,0.060123722,2,linear,0.176,13.703
7,otsu,naive,0,0.025733413,-0.004443521,-0.123824163,0.114937121,1,0.060908491,2,linear,0.16,13.722
8,otsu,naive,0,0.057952253,0.026454592,-0.102451273,0.155360457,1,0.065768298,2,linear,0.144,13.022
9,otsu,naive,0,0.096633396,0.082596614,-0.032513423,0.19770665,1,0.05872961,2,linear,0.158,13.466
10,otsu,naive,0,0.043542282,0.023854645,-0.091172401,0.13888169,1,0.058687268,2,linear,0.14,12.83
1,otsu,cluster,0,0.078128794,0.073544784,-0.042443506,0.189533075,1,0.059177699,2,linear,0.206,6.423
2,otsu,cluster,0,0.079982125,0.083344287,-0.022317695,0.189006269,1,0.053909175,2,linear,0.162,6.666
3,otsu,cluster,0,-0.016661402,-0.028307917,-0.140371433,0.083755598,1,0.057175263,2,linear,0.156,6.535
4,otsu,cluster,0,0.143256444,0.132893494,0.014361739,0.251425248,0,0.060475385,2,linear,0.144,6.5
5,otsu,cluster,0,0.015541718,0.019661892,-0.087501224,0.126825008,1,0.054675059,2,linear,0.154,6.596
6,otsu,cluster,0,0.058363473,0.0275985,-0.090959618,0.146156618,1,0.060488836,2,linear,0.167,6.935
7,otsu,cluster,0,0.080818038,0.113600243,-0.014469744,0.241670229,1,0.06534183,2,linear,0.164,6.531
8,otsu,cluster,0,0.084110505,0.051062719,-0.05401295,0.156138388,1,0.053610035,2,linear,0.151,6.427
9,otsu,cluster,0,-0.01746231,-0.013352256,-0.137913775,0.111209264,1,0.063551795,2,linear,0.158,6.76
10,otsu,cluster,0,0.036795365,-0.001907198,-0.117942282,0.114127885,1,0.059201573,2,linear,0.151,6.669
1,otsu,wild,0,0.078128794,0.073544784,-0.004120042,0.140389496,1,0.039845734,2,linear,0.171,0.025
2,otsu,wild,0,-0.090395779,-0.11278377,-0.174496921,-0.042664351,0,0.035281977,2,linear,0.147,0.002
3,otsu,wild,0,0.004646375,-0.009958294,-0.080731029,0.062356337,1,0.039846111,2,linear,0.166,0.002
4,otsu,wild,0,0.006987701,-0.025891861,-0.103475356,0.050315946,1,0.039759834,2,linear,0.164,0.002
5,otsu,wild,0,0.103248781,0.056081341,-0.01591278,0.135658327,1,0.037757449,2,linear,0.152,0.002
6,otsu,wild,0,0.072944131,0.067583963,-0.001057345,0.123684284,1,0.03363368,2,linear,0.154,0.002
