id,name,boot_mtd,att_true,att_est,att_est_debiased,lower,upper,covered,sd_boot,n_split,mu_model,,
1,toy,Bayesian,3.01997288,3.007175326,3.006969544,2.682212337,3.34768055,1,,1,,,
2,toy,Bayesian,3.017287534,3.257163391,3.257533858,2.914128054,3.528953904,1,,1,,,
3,toy,Bayesian,3.053291317,3.24362323,3.243568904,2.967983439,3.50554331,1,,1,,,
4,toy,Bayesian,3.063377266,3.103265929,3.102575228,2.758867915,3.450486403,1,,1,,,
5,toy,Bayesian,2.979563466,3.039030386,3.038788958,2.703866478,3.371618973,1,,1,,,
6,toy,Bayesian,3.085992957,3.223246588,3.223063683,2.893653862,3.582243609,1,,1,,,
7,toy,Bayesian,3.113835302,3.251727949,3.25206928,2.944823899,3.552235524,1,,1,,,
8,toy,Bayesian,3.060336306,3.21369918,3.213583167,2.862475737,3.529301231,1,,1,,,
9,toy,Bayesian,2.848498047,3.037642914,3.037663151,2.689695945,3.374266206,1,,1,,,
10,toy,Bayesian,3.111684883,3.219754571,3.21980235,2.884003238,3.533001945,1,,1,,,
11,toy,Bayesian,3.025489045,3.146417949,3.146406862,2.871125013,3.463500487,1,,1,,,
12,toy,Bayesian,3.135537867,3.221713465,3.22191353,2.868583563,3.555818914,1,,1,,,
13,toy,Bayesian,2.998782707,3.092476056,3.092442804,2.809439584,3.426738055,1,,1,,,
14,toy,Bayesian,2.928033501,2.990620119,2.99047734,2.691565172,3.327087756,1,,1,,,
15,toy,Bayesian,3.064311738,3.083608712,3.083505919,2.82337301,3.395760286,1,,1,,,
16,toy,Bayesian,2.993267947,3.253579167,3.253884403,2.893981444,3.603602445,1,,1,,,
17,toy,Bayesian,3.077412745,3.308643262,3.308629067,2.984683643,3.62663024,1,,1,,,
18,toy,Bayesian,2.946027333,2.973756171,2.973812007,2.670449869,3.301822546,1,,1,,,
19,toy,Bayesian,3.008892353,3.046756016,3.046352191,2.716571677,3.333571635,1,,1,,,
20,toy,Bayesian,3.035475968,3.163700137,3.163560475,2.878469302,3.435340382,1,,1,,,
21,toy,Bayesian,3.014325768,3.112956266,3.113065941,2.804609632,3.392957253,1,,1,,,
22,toy,Bayesian,2.901548753,3.092446768,3.092070518,2.71672781,3.422242282,1,,1,,,
23,toy,Bayesian,3.035979011,3.084074296,3.083962686,2.788148944,3.321276563,1,,1,,,
24,toy,Bayesian,3.061945231,3.094685941,3.094809641,2.753753564,3.407812204,1,,1,,,
25,toy,Bayesian,2.990003398,3.200684923,3.200704987,2.906237338,3.508712539,1,,1,,,
26,toy,Bayesian,3.199347164,3.173619435,3.173616999,2.9016974,3.464336713,1,,1,,,
27,toy,Bayesian,2.864618775,3.092913101,3.092954094,2.825088202,3.406410554,1,,1,,,
28,toy,Bayesian,3.032150804,3.161405125,3.161499707,2.857453072,3.441994542,1,,1,,,
29,toy,Bayesian,3.021630611,3.138407834,3.138398265,2.818260544,3.437687447,1,,1,,,
30,toy,Bayesian,2.997400122,3.215802857,3.215756839,2.921184627,3.529445244,1,,1,,,
31,toy,Bayesian,3.031826865,3.074907181,3.074907181,2.75151797,3.415531007,1,,1,,,
32,toy,Bayesian,3.028922608,3.017070038,3.017479027,2.71485328,3.335159165,1,,1,,,
