runid,nc,nt,f0_sd,num_bins,ninf,ninf_cem,true_ATT,diff,bal1,bal2,or_lm,or_bart,ps_lm,ps_bart,csm_scm,csm_avg,cem_scm,cem_avg,onenn,tmle1,aipw1,tmle3,aipw3
9,500,100,1,6,0,7,3.217092992779401,4.063165417485136,4.065222803548725,3.2653359896903735,2.617617944314486,3.3682311108112044,3.2179494136327076,3.231230772342193,3.122881197967448,3.1052928438762395,3.138139021787932,3.217982302565355,2.9719079241740713,4.073606746313689,4.060201769454731,2.9158014328551105,3.540692802465121
5,500,100,1,6,0,2,3.0374722135563,4.037851808031208,4.04319701055452,3.3019708385043076,2.8678960892670555,3.1610831731465616,3.5971778229156426,3.101710524512848,2.823590042554706,3.023954081765762,2.9077213523407703,2.8891795071378477,2.7196389213635026,4.049894864550099,4.040305440978248,2.1949639480941174,3.521028489372049
1,500,100,1,6,0,0,2.669720364898403,3.8731010136278665,3.873101114281076,3.3333147756640473,2.985035122534961,3.118910063914868,3.4774324546381763,3.19916328270099,3.0592790677614987,3.215849201213887,2.573293933731848,2.6681372751580685,2.824443475158545,3.874142734952712,3.871357011895317,2.6399663042511925,3.4363977624209396
10,500,100,1,6,0,0,3.376135032192267,4.3212313108623555,4.321107068435672,3.4960503175918065,2.9602902684013976,3.322793241058724,3.926182695289188,3.3596584449440563,3.2820688864022882,3.229206513899987,3.1217744864149592,3.1991894523344246,3.233779977695412,4.3321925513294754,4.31753503454667,3.3085361997381137,3.779541855360585
2,500,100,1,6,0,1,2.8120056782497236,3.8205305570533272,3.83371460193422,2.927024414975562,2.4151091289858253,2.8966391275557255,2.3501053541530768,2.876028648630581,2.788201285027311,2.7771081476231654,2.878863133699684,2.6584382021528423,2.942859882478003,3.896425869195278,3.835806069591446,2.8363640230063085,3.4043450070596495
3,500,100,1,6,0,0,2.868855478719807,3.961296057546365,3.9688376225555015,3.247014910104091,2.82512157665167,3.165296575657331,2.8110752921570104,3.1929262109718586,3.199886190252937,3.159301828260662,2.8702538994458804,3.155880003162739,2.970014518169445,4.014261080779334,3.969832217567573,3.162062544147056,3.4808553358425676
7,500,100,1,6,0,0,3.2576411616395946,4.2428696989372305,4.240993712163052,3.536292637799101,3.105458261976194,3.3829448010823704,3.2018253967924357,3.4449159723396416,3.424520133557293,3.3455841022529897,3.180202899205903,3.247569857938138,3.2595676016864665,4.254011802149399,4.241000594086736,3.190229533605528,3.7272806793970688
6,500,100,1,6,0,1,2.890078020763814,4.16129579191179,4.154040546676867,3.262572911617794,2.7572137896181745,2.98501824504516,3.7690735071186663,3.0662993718118443,2.8949577323946425,2.946269749460358,2.95469834301172,3.020913766944017,2.721561232151057,4.129339204379181,4.153790612091366,2.830722202162743,3.5086575098277475
4,500,100,1,6,0,0,2.9748852844891593,3.908998838870096,3.9107863641040983,3.22677538546022,2.666733267608424,3.28608125303042,3.8765306622852904,3.1811868382865436,3.246346077354546,3.073916391937381,2.553761626952742,2.672574844460545,2.9692233437055835,3.9062861297732985,3.9110659474212897,2.9234126984628848,3.3337550271764096
11,500,100,1,6,0,0,3.2282845397147715,4.142164178016838,4.143630415582427,3.4919311845481005,3.110114905308478,3.346397995751043,3.666196896806805,3.2797723319092453,3.190369450177747,3.271035444444573,3.0046995450475418,3.2105290690446733,3.07423947636448,4.12359659442763,4.14819021776035,2.9439392206114197,3.726668772807092
8,500,100,1,6,0,9,3.0831994029654455,4.156690377892663,4.153180313395589,3.3466362724525265,2.9076792900012243,2.992965314124348,3.153107482669422,2.937707184532698,2.7482723017512942,2.8364941667941412,2.6550174098528725,2.9358738595552936,2.493138634023124,4.169977734014094,4.15634298991856,2.815486764015738,3.146735247330511
15,500,100,1,6,0,26,2.834502474006269,3.76122203780717,3.7612221388293143,3.1568254007964835,2.6345307452059865,3.1441883822274,3.660608768406795,3.158386045908572,3.1722720789676275,3.0455889922656807,2.5263632534190092,2.8868285054751883,2.863811627103078,3.755436260672832,3.762862734239908,2.651069237615689,3.530659682487358
13,500,100,1,6,0,0,3.0545854762553297,4.2190538323417455,4.215675757274047,3.466251278412795,2.9991940613087444,3.418344560806919,3.7064068509344863,3.3726783466129096,2.9740308353585023,3.239177964273085,3.458816918645291,3.281823483440914,3.1754524795807404,4.213227147427908,4.226169268772403,3.6720597516291926,3.852942958520635
12,500,100,1,6,0,0,3.02538864988196,4.063887885317856,4.060535172822075,3.368754318602587,2.8839061510798194,3.3780143633707755,3.633554626045643,3.435073720433241,3.3054685634702974,3.3117270560048846,3.470645352923608,3.4931169833233664,3.391794284555,4.092640909849955,4.065901260529223,3.6732329600676152,3.66607629583109
19,500,100,1,6,0,21,3.096339634794408,4.150326153659375,4.147705755221427,3.354492797286424,2.8468929485232257,3.3414157846576553,3.0357429435877687,3.181845726680222,2.938383715127882,3.1104347822043454,2.6760430628107557,2.6978015401509756,2.9287197406951675,4.1485106867079224,4.153614998782578,2.08176835093532,3.6329584362241745
14,500,100,1,6,0,17,2.867772845443839,4.047303483127971,4.047325151904908,3.258203857534455,2.8043894264074476,3.217080177692646,3.773281454693545,3.1611420531689047,3.021781925936268,3.0360840991429434,3.3910166138022824,3.4206744619402105,3.023796509242829,4.048695847890007,4.044050473439896,3.3115745800280907,3.6252498473713968
17,500,100,1,6,0,0,3.118189979286788,4.143053130294958,4.146159567269898,3.3877414956811087,2.878357170051914,3.3416534113515906,3.460180448214931,3.2997213129491065,3.2266846242412557,3.1792490630863997,3.532590875456751,3.4109023032327803,3.215033051794028,4.121078736507297,4.143232111852896,3.553559816126564,3.70164214234003
16,500,100,1,6,0,16,2.9707323392235097,4.071441587237091,4.077609106305442,3.3291138413073265,2.8539650824847485,3.1304350719345404,3.6133284856786103,3.1809769795512803,2.9928420098284008,3.0825443416750877,3.3573185480018353,3.4758830371173657,2.805547523026905,4.102318589077646,4.075245998732075,2.697614572514211,3.4810551562075234
22,500,100,1,6,0,16,2.8735782660484683,4.02978341227492,4.025747805714225,3.2804584905829506,2.787391366589964,3.3486090332140788,3.2801738809474186,3.345019749834181,3.395950134356755,3.169664643584544,3.254067039371477,3.190866988244178,3.1647199374050743,4.003889641978343,4.0310794995320185,3.7191715983532023,3.627942557084967
18,500,100,1,6,0,0,2.8345288372375395,3.962823734542344,3.961020463098571,3.3017303917576513,2.903518933355749,3.140868024881168,3.2428982393242096,3.051814355706358,2.9992600853602065,3.0025381159928495,2.656323453542421,2.925441952473122,2.5971212088667848,3.9890240280900584,3.9654198727567223,2.970228800754199,3.2880855981156834
