runid,n,ninf,ninf_cem,true_ATT,diff,bal1,bal2,or_lm,or_bart,ps_lm,ps_bart,csm_scm,csm_avg,cem_scm,cem_avg,onenn,tmle1,aipw1,tmle2,aipw2
11,1000,3,74,0,-18.538410916207965,-5.960893884160868,-7.991957611813149,-8.217572013123561,-0.7067007370860391,-6.261973711099813,-5.147964130021876,1.444870772234708,-13.81012504322075,-2.201182692947782,-2.709377105027613,-4.521770713223447,-5.339713650526757,-6.919323272827824,-1.0402970476135625,-2.7243148177690157
7,1000,8,44,0,-15.330538366170146,-6.1786609379246045,-6.974577882193387,-6.425224115330689,-0.8583908639052267,-3.928207266728265,-3.8965513910666516,3.3235655421860315,-10.875526868134159,-3.4798840679077614,-3.5766999146875094,-3.8803122144753104,-4.5126293295865105,-4.191948283020735,-0.9927506012246146,-1.1548172030593542
5,1000,7,39,0,-14.486474441952737,-5.816371823989272,-6.010464115489867,-7.370077282542195,-0.30183287174188667,-6.364956988089148,-3.3791376525205976,4.192835649418214,-12.963743782302998,-4.884534506670349,-8.247188906690297,-3.3568437523476575,-3.9787104691045148,-2.614703796802041,-0.6217918715174123,-1.1864812294104228
3,1000,4,38,0,-14.990187635501968,-4.750283326482389,-5.938075393771811,-6.772280559294894,-0.8729831561569333,-3.7981696808120375,-3.7340843065131253,0.09247116439587444,-12.166354438938583,-3.133188410637672,-7.4034516569597315,-4.2783356186991455,-3.252383689456175,-4.387023340715158,0.22724747902575002,-0.7354883019014475
9,1000,3,53,0,-16.46017060086342,-4.1830341680880565,-5.652588530723932,-6.741486607406705,-1.5107650932625283,-4.438708885140926,-3.623239860192001,0.8564795247525581,-12.414566859303648,-4.1046081495115345,-6.075061702118006,-6.459431522027899,-3.3385017901071614,-4.119529723480648,-0.8361899326692662,-1.8657939469471256
6,1000,3,56,0,-17.467591772722045,-5.215991589066022,-7.473710438189897,-7.171937249444367,-1.2598897197297692,-3.8513277664191037,-4.417240758991738,2.0225419983088955,-14.700946323662436,-4.244741528172796,-6.9941799466920145,-4.848198462714947,-3.2295085900220877,-3.4005613711287834,-0.7158068834062248,-0.8787467259451834
4,1000,5,32,0,-21.200811379380468,-6.715155750000889,-9.21278456393921,-9.384868365705591,-1.4859722658578927,-6.2001345212355545,-6.076288726545982,-3.075379314835459,-14.91813205606465,-3.846742176200678,-6.852262186677166,-6.317137319463143,-4.979810130309887,-1.9082913605939669,-0.7747074273557417,-2.3296130695500006
10,1000,2,49,0,-23.907334040586107,-8.11021176687521,-11.102599442666786,-11.922284811831846,-1.7166890909676396,-10.303600034236041,-8.06757102955271,-0.5956119998073461,-18.821200529184637,-5.550436684980696,-11.308071611988993,-7.457812694568531,-7.165253635807001,-9.206912457417976,-0.58302580707982,-2.606830701161922
2,1000,4,56,0,-15.364032302171239,-6.369762923137529,-7.4116369477484625,-10.47799826689806,-2.159196861423903,-5.157148023779428,-5.694148250813839,0.22778518500072664,-15.06845669319108,-4.778107864863728,-7.935141878512212,-6.1001437071317355,-6.323643213862968,-7.108624981596854,-0.5206024780339623,-4.883808856508901
8,1000,3,49,0,-24.071242729447164,-6.176625507044918,-7.976645689489459,-8.442140042447612,-0.6618516805345832,-4.035918726807637,-4.483253036938606,3.6550028699764994,-17.188663521587642,-3.5487535396478904,-8.567913824008684,-5.833254373147781,-4.6938121988258965,-4.617536937730884,-0.9819140272161687,-0.8871849143019621
