runid,n,ninf,ninf_cem,true_ATT,diff,bal1,bal2,or_lm,or_bart,ps_lm,ps_bart,csm_scm,csm_avg,cem_scm,cem_avg,onenn,tmle1,aipw1,tmle2,aipw2
1,1000,8,59,0,-19.58661775467931,-7.833098226508582,-8.319896215121304,-10.702818580893357,-1.234073171909066,-6.308837553121123,-4.459453839778604,-2.8140911529693824,-14.875438848375126,-3.1505179048857315,-5.9932810135066745,-5.229094382547345,-6.174140884781262,-8.767975963039447,-0.7065785093266911,-0.6990053925355569
7,1000,7,50,0,-17.999333652021647,-8.389195964446799,-9.904947589888792,-12.288660078833047,-2.6780254404552437,-8.724857324257925,-8.543078893980663,-4.401019449951747,-17.344954361055642,-7.160904780191828,-14.812233236319287,-8.639697977281344,-8.074704957838293,-10.284818364275196,-1.7611168799138173,-4.793909502927445
3,1000,6,45,0,-19.678154275525685,-7.838409034826469,-8.500699575881555,-10.817310407825065,-1.8434051892048149,-8.068595569924128,-4.5023826249105525,2.215505523698681,-17.690602640248414,-6.367921510403562,-11.5427846716683,-7.085002552997054,-6.9724457139010845,-6.952754841959138,-0.7772680182000213,-2.4086845374113306
6,1000,2,28,0,-20.47230976880138,-5.133075513978895,-5.809250518531854,-8.274132907673277,0.4202350718001531,-2.5825347324575603,-3.612462069093482,-0.6368179653405264,-16.41458211523937,-1.6476918833817535,-6.219984250776804,-6.262600857982903,-4.178736236123439,-6.123611061222782,0.13315062505906738,-1.0014595937668573
5,1000,9,31,0,-18.356064846945145,-4.709559988955959,-5.300310700907858,-7.571451405279145,-0.7696630430043173,-2.775928329804856,-4.201574154018516,2.0936779815069713,-16.34189055493397,-4.8705845246869615,-10.542935862028912,-5.101270169968927,-3.5671794807858195,-5.286830563348418,-0.22256707680321572,-1.612058530187445
2,1000,1,43,0,-16.60181860322035,-5.808269998346816,-7.019990660613701,-7.717766311928594,-0.015453534436848076,-3.892106239611735,-4.634340676733956,1.2371605447756338,-14.039553652217819,-4.1150155746435075,-8.351603612811061,-5.229829554674296,-4.657157237483806,-3.669383159212098,-1.1332778568096233,0.2272381732002199
4,1000,3,41,0,-21.29411789247959,-6.0436667204305365,-6.729965196474666,-9.26921188102291,-0.5739050505132709,-6.276434277049219,-6.572282728573782,-3.295142545215384,-15.117059374459245,-4.983670341855429,-7.519453228886135,-7.369625404801184,-5.319531978212052,-7.337552140581264,-0.5515505160194303,-1.6206527774192085
9,1000,4,19,0,-18.788301856431673,-6.304808246027932,-7.429124323139945,-7.190526455544321,-0.9458307496174038,-4.7400236236479145,-4.659983751695734,-0.08402227380898353,-16.316700082981157,-3.7341990091460104,-9.522502464305916,-4.668913390701334,-5.227343081271317,-6.746166331101305,-0.7951285568365298,-2.387749778236622
10,1000,1,20,0,-20.87860053593286,-6.923577693126617,-7.804885178727176,-9.726537194542807,-2.292526822877853,-7.146937316117601,-6.820213075673479,-0.8728883284195774,-16.4230127848422,-3.9904725781321986,-7.730154847451416,-6.256294209539362,-5.715484374487407,-7.00427429660446,-1.5151989970241135,-3.0922893357178576
8,1000,3,25,0,-18.85266528095164,-6.110964122112193,-7.942708116528536,-8.146447561231225,-1.2898071304360508,0.7687670006748135,-4.24808171010514,1.2443197852251444,-15.825740203626935,-5.717573739244017,-9.370925546792705,-5.307880889236515,-4.138684884291699,1.1433558672884223,-0.7426083163066979,-1.6471512450884707
11,1000,3,37,0,-19.33491003797451,-4.371234257508462,-5.287721064426478,-5.682993076015535,-0.8267929448422106,-2.802112727519045,-1.519381792559983,1.6785614527361474,-13.741111268373146,-2.417438596398455,-4.25610064045901,-2.75759111261857,-3.1882580853940414,-2.53928278461739,8.915048768352977e-4,0.8055382588790215
12,1000,2,42,0,-21.74431456401615,-7.211416162527996,-8.751631382374228,-12.205980360345693,-1.1747938722810756,-7.341519359655706,-7.2916720288927195,-0.5779723108323651,-19.12761155355878,-3.677410740137276,-11.035406264623276,-6.6572040386954825,-6.313713671587029,-9.280283620892375,-1.1116021705165562,-3.189235258648491
13,1000,1,22,0,-20.46057242988917,-5.4787256146697985,-7.4065509590539875,-8.461835725047058,-0.56321387888496,-4.197806916986792,-4.032797186272177,0.6123518745165768,-14.372089585868508,-2.514394329393582,-7.161978165874018,-3.7652534350504823,-3.8742394028735596,-2.730240988231929,-0.8018176744887995,0.30487012690560517
